artist_name,artist_id
Ed Sheeran,0
Maroon 5,1
Zara Larsson,2
The Chainsmokers,3
Lewis Capaldi,4
Katy Perry,5
Sam Feldt,6
Avicii,7
Shawn Mendes,8
Ellie Goulding,9
Loud Luxury,10
Martin Garrix,11
AJ Mitchell,12
David Guetta,13
Sam Smith,14
Steve Aoki,15
R3HAB,16
Marshmello,17
Ava Max,18
Nikki Vianna,19
Charlie Puth,20
Starley,21
James Arthur,22
MAX,23
ILLENIUM,24
Bazzi vs.,25
Charli XCX,26
Kygo,27
Armin van Buuren,28
Billie Eilish,29
Sia,30
Sean Paul,31
Estelle,32
Bastille,33
for KING & COUNTRY,34
Lil Nas X,35
Calvin Harris,36
Why Don't We,37
Olympis,38
DJ Snake,39
Smash Mouth,40
SHAED,41
Kaskade,42
GASHI,43
Khalid,44
Herve Pagez,45
Mark Ronson,46
Arlissa,47
5 Seconds of Summer,48
Gryffin,49
NOTD,50
Jonas Blue,51
3LAU,52
Jax Jones,53
Zedd,54
Mabel,55
A R I Z O N A,56
Alesso,57
ayokay,58
ARTY,59
Maggie Lindemann,60
Cashae,61
Galantis,62
Carly Rae Jepsen,63
Tiësto,64
Silk City,65
Shallou,66
benny blanco,67
DVBBS,68
Lost Kings,69
Elderbrook,70
FANNYPACK,71
Joel Corry,72
Lindsey Stirling,73
ODESZA,74
Clean Bandit,75
Justin Bieber,76
The Black Eyed Peas,77
Riton,78
San Holo,79
Ne-Yo,80
Disclosure,81
Dynoro,82
Skrillex,83
J Balvin,84
Swedish House Mafia,85
Justin Timberlake,86
Lady Gaga,87
Robin Schulz,88
Sigala,89
Hot Shade,90
Paul Kalkbrenner,91
MOTi,92
Dimitri Vegas & Like Mike,93
Becky Hill,94
Molella,95
GATTÜSO,96
MEDUZA,97
Matt Simons,98
Ed Marquis,99
Brando,100
Glaceo,101
Kharfi,102
Lost Frequencies,103
Dua Lipa,104
Steve Void,105
PNAU,106
Mike Perry,107
FAULHABER,108
Audien,109
Prince Paris,110
Georgia Ku,111
Icarus,112
Madison Mars,113
Nahaze,114
DJ Ross,115
Phantoms,116
Deorro,117
Yves V,118
Alok,119
Martin Solveig,120
Alex Gaudino,121
Felix Jaehn,122
SAINt JHN,123
Ofenbach,124
Rita Ora,125
Drax Project,126
Dzeko,127
Don Diablo,128
Andy Grammer,129
Valerie Broussard,130
Panic! At The Disco,131
Hardwell,132
P!nk,133
Daya,134
Borgeous,135
Dan + Shay,136
JP Cooper,137
Jess Glynne,138
Frank Walker,139
Young Bombs,140
OneRepublic,141
Syn Cole,142
Tyler Shaw,143
Nicky Romero,144
Faustix,145
George Ezra,146
XO Cupid,147
Winati,148
Tungevaag & Raaban,149
Jubël,150
John De Sohn,151
Martin Jensen,152
Lauv,153
Kris Kross Amsterdam,154
GAMPER & DADONI,155
Vigiland,156
Alan Walker,157
Cheat Codes,158
Dennis Lloyd,159
Klingande,160
Davai,161
Axel Johansson,162
Chico Rose,163
Axwell /\ Ingrosso,164
Steff da Campo,165
Ilkay Sencan,166
Gaullin,167
Craig David,168
Lyente,169
Dimitri Vangelis & Wyman,170
Steve Brian,171
Fluex,172
Rob Tirea,173
SLATIN,174
Lvly,175
PULLER,176
CAZZETTE,177
Dropgun,178
Alicia Madison,179
Mike Williams,180
Dash Berlin,181
Catiso,182
Lush & Simon,183
Vargas & Lagola,184
Bombs Away,185
STVCKS,186
Ariana Grande,187
Tritonal,188
DJ Khaled,189
oomiee,190
ARASHI,191
Shinn Yamada,192
TOMORROW X TOGETHER,193
Hiroomi Tosaka,194
GENERATIONS from EXILE TRIBE,195
E-girls,196
iamSHUM,197
DAOKO,198
CHANMINA,199
香取慎吾,200
EMMA WAHLIN,201
Ghost like girlfriend,202
Ryuji Imaichi,203
CREAM,204
THE RAMPAGE from EXILE TRIBE,205
INTERSECTION,206
chelmico,207
ASOBOiSM,208
FlowBack,209
SARM,210
SIRUP,211
Yo-Sea,212
eill,213
Rei Yasuda,214
Daichi Miura,215
phai,216
BABY-T,217
真之介,218
KEITA,219
空音,220
Sakurako Ohara,221
HAN-KUN,222
RUN THE FLOOR,223
DEAN FUJIOKA,224
Chocoholic,225
片寄涼太,226
Boys Get Hurt,227
SkyLogic,228
YUTO,229
AAAMYYY,230
HarukiD,231
HIRAIDAI,232
blanchehor,233
Kumi Koda,234
yu-re:meu,235
Gear 2nd,236
Miliyah,237
広瀬大地,238
DJ PIGER,239
RYPPHYPE,240
sooogood!,241
Monkey Majik,242
WAPLAN,243
AATA,244
Beverly,245
EVERGLOW,246
BVNDIT,247
GOT7,248
CHUNG HA,249
ATEEZ,250
BLACKPINK,251
X1,252
Red Velvet,253
HINAPIA,254
SuperM,255
Mamamoo,256
MOMOLAND,257
KARD,258
K/DA,259
Monsta X,260
BTS,261
iKON,262
Stray Kids,263
YOUNGJAE,264
NCT,265
TWICE,266
(G)I-DLE,267
CLC,268
EXID,269
SUNMI,270
SEVENTEEN,271
SHAUN,272
PRODUCE 48,273
TAEMIN,274
GFRIEND,275
Ailee,276
twlv,277
THE BOYZ,278
gugudan,279
PENTAGON,280
WINNER,281
FANATICS,282
RUANN,283
Raiden,284
ELYAZ,285
Alle Farben,286
Keanu Silva,287
KSHMR,288
Coldplay,289
Tim Berg,290
Campsite Dream,291
Nea,292
Aivarask,293
Oliver Heldens,294
Snakehips,295
Henri PFR,296
Ina Wroldsen,297
Hypanda,298
Younotus,299
Wiley,300
CamelPhat,301
Au/Ra,302
LORYN,303
MK,304
K-391,305
Daft Punk,306
MØ,307
Normani,308
OMI,309
Faul & Wad Ad,310
Fatboy Slim,311
QUIX,312
Wiktoria,313
Vide,314
Ludvigsson,315
Caj Morgan,316
Andrew Roman,317
Ljung,318
Hogland,319
Ericé,320
Ria Mae,321
AronChupa,322
Wahlstedt,323
Skylike,324
JRL,325
Kesha,326
Justin Jesso,327
Haze & Mellow,328
Sterkøl,329
Moe Aly,330
Laureano,331
Addal,332
Madeon,333
Bakermat,334
TooManyLeftHands,335
Greyson Chance,336
Tom Walker,337
TRXD,338
henrikz,339
Frans,340
jayover,341
Regard,342
Erlandsson,343
Jonasu,344
Captain Cuts,345
Sick Individuals,346
AMAANDA,347
Papa Ya,348
Guy Sebastian,349
Roman Müller,350
BAARD,351
Theresa Rex,352
Hellberg,353
Foxa,354
Lewka,355
Vinil,356
Tom Ferry,357
End of the World,358
Closed Doors,359
Ashley O,360
Pedro Capó,361
Charming Horses,362
Le P,363
Alex Mattson,364
Out Of Sound,365
ILIRA,366
KAROL G,367
Aitana,368
David Bisbal,369
Omar Montes,370
Morat,371
Daddy Yankee,372
Halsey,373
Lérica,374
Reik,375
Bad Gyal,376
Jonas Brothers,377
Anuel AA,378
Miki Núñez,379
Selena Gomez,380
Jhay Cortez,381
Eminem,382
Tainy,383
Major Lazer,384
Mariah Carey,385
Manuel Carrasco,386
Gregory Porter,387
The Weeknd,388
Juice WRLD,389
Antonio José,390
Lola Indigo,391
Post Malone,392
Lalo Ebratt,393
Niall Horan,394
Yera,395
Damien,396
Juanes,397
Taylor Swift,398
Sebastian Yatra,399
Alba Reche,400
Guaynaa,401
Pablo López,402
Lunay,403
Natalia Lacunza,404
Don Patricio,405
Lou Bega,406
Darude,407
Vengaboys,408
Mr. President,409
Eiffel 65,410
Aqua,411
Haddaway,412
Scatman John,413
Paradisio,414
La Bouche,415
Gigi D'Agostino,416
Britney Spears,417
SNAP!,418
Real McCoy,419
Chumbawamba,420
Ace of Base,421
Corona,422
Los Del Rio,423
Cher,424
Alice DJ,425
Prince Ital Joe,426
T-Spoon,427
The Mamas,428
Amber,429
Grace Gracie,430
C & C Music Factory,431
Robert Miles,432
Technotronic,433
Jennifer Lopez,434
2 Brothers On The 4th Floor,435
Des'ree,436
Spice Girls,437
Nelly,438
Captain Hollywood Project,439
Masterboy,440
Deee-Lite,441
Kylie Minogue,442
Culture Beat,443
Maxx,444
DJ Bobo,445
Salt-N-Pepa,446
Will Smith,447
Rednex,448
Vanilla Ice,449
Casey Derhak,450
Dune,451
Alice Deejay,452
Ice Mc,453
E-Rotic,454
*NSYNC,455
Sash!,456
Whigfield,457
Scooter,458
Me & My,459
Zombie Nation,460
The Bucketheads,461
Inner Circle,462
Cappella,463
Captain Jack,464
O-Zone,465
DJ Sammy,466
A Touch Of Class,467
Pet Shop Boys,468
Dr. Alban,469
Faithless,470
Madonna,471
DJ Jean,472
Grace,473
Double You,474
Hillsong UNITED,475
Hillsong Young & Free,476
Youngheart,477
Neon Feather,478
Verses,479
Tauren Wells,480
Local Sound,481
Dan Bremnes,482
Logan Pollard,483
TobyMac,484
Mass Anthem,485
Passion,486
Highlands Worship,487
Elizabeth Grace,488
Matthew Parker,489
Rachael Nemiroff,490
York Worship,491
Marci Coleman,492
Bryan Boliver,493
Marshall Marshall,494
Alive City,495
Bright Ones,496
Heather Schnoor,497
Apollo LTD,498
Manafest,499
Influence Music,500
The Young Escape,501
Cade Thompson,502
Influencers Worship,503
